Day,Activity,Category,Date,Month,Weekday,Start,End
1,Polar Plots in Python with Matplotlib by Neural Nine,Data Visualization,2024-03-15,March,Friday,2024-03-15,2024-03-16
2,Spotify Oldies Dataset 🎶,Data Scientist (Kaggle),2024-03-16,March,Saturday,2024-03-16,2024-03-17
3,Pomodoro Timer GUI,GUI,2024-03-17,March,Sunday,2024-03-17,2024-03-18
4,To Do App,Others,2024-03-18,March,Monday,2024-03-18,2024-03-19
5,ContactManager,Others,2024-03-19,March,Tuesday,2024-03-19,2024-03-20
6,Income Prediction Adult Income [Kaggle](https,Data Scientist (Kaggle),2024-03-20,March,Wednesday,2024-03-20,2024-03-21
7,Pokedex GUI Application,GUI,2024-03-21,March,Thursday,2024-03-21,2024-03-22
8,Flet Chat Application,Others,2024-03-22,March,Friday,2024-03-22,2024-03-23
9,Video Game Sales [Kaggle](https,Data Scientist (Kaggle),2024-03-23,March,Saturday,2024-03-23,2024-03-24
10,Summarize News Articles,Others,2024-03-24,March,Sunday,2024-03-24,2024-03-25
11,Sudoku Solver,Others,2024-03-25,March,Monday,2024-03-25,2024-03-26
12,Snake Pygame,GUI,2024-03-26,March,Tuesday,2024-03-26,2024-03-27
13,Titanic Dataset 🚢 [Kaggle](https,Data Scientist (Kaggle),2024-03-27,March,Wednesday,2024-03-27,2024-03-28
14,Email Python,Others,2024-03-28,March,Thursday,2024-03-28,2024-03-29
15,Guess the Number,Others,2024-03-29,March,Friday,2024-03-29,2024-03-30
16,Virtual Bookshelves,Others,2024-03-30,March,Saturday,2024-03-30,2024-03-31
17,RSS Feed Reader,Others,2024-03-31,March,Sunday,2024-03-31,2024-04-01
18,Customer Manager JSON,Others,2024-04-01,April,Monday,2024-04-01,2024-04-02
19,Expense Tracking App,Others,2024-04-02,April,Tuesday,2024-04-02,2024-04-03
20,Hangman,Others,2024-04-03,April,Wednesday,2024-04-03,2024-04-04
21,Image Editor,Others,2024-04-04,April,Thursday,2024-04-04,2024-04-05
22,Faker User,Others,2024-04-05,April,Friday,2024-04-05,2024-04-06
23,Simple Stock Price (Steamlit),Data Scientist (Kaggle),2024-04-06,April,Saturday,2024-04-06,2024-04-07
24,Quality Of Wine [Kaggle](https,Data Scientist (Kaggle),2024-04-07,April,Sunday,2024-04-07,2024-04-08
25,Extract Dominant Colors,Others,2024-04-08,April,Monday,2024-04-08,2024-04-09
26,Tree Node,Others,2024-04-09,April,Tuesday,2024-04-09,2024-04-10
27,ML with FastAPI,Data Scientist (Kaggle),2024-04-10,April,Wednesday,2024-04-10,2024-04-11
28,Tutorial Guide (Python Types Intro) [FastAPI](https,GUI,2024-04-11,April,Thursday,2024-04-11,2024-04-12
29,Parking Space Counter,Others,2024-04-12,April,Friday,2024-04-12,2024-04-13
30,[TensorFlow](https,Data Scientist (Kaggle),2024-04-13,April,Saturday,2024-04-13,2024-04-14
31,Spam Emails Dataset [Kaggle](https,Data Scientist (Kaggle),2024-04-14,April,Sunday,2024-04-14,2024-04-15
32,Dijkstra's Algorithm Implementation,Others,2024-04-15,April,Monday,2024-04-15,2024-04-16
33,"Technical Test ""Add Two Numbers"" and ""FizzBuzz"" [LeetCode](https",LeetCode,2024-04-16,April,Tuesday,2024-04-16,2024-04-17
34,Quicksort,Others,2024-04-17,April,Wednesday,2024-04-17,2024-04-18
35,Live Weather Forecast Flask App,GUI,2024-04-18,April,Thursday,2024-04-18,2024-04-19
36,Random Passwords Generator,Others,2024-04-19,April,Friday,2024-04-19,2024-04-20
37,Site Connectivity Checker,Others,2024-04-20,April,Saturday,2024-04-20,2024-04-21
38,Heart Attack Analysis & Prediction Dataset [Kaggle](https,Data Scientist (Kaggle),2024-04-21,April,Sunday,2024-04-21,2024-04-22
39,[TensorFlow](https,Data Scientist (Kaggle),2024-04-22,April,Monday,2024-04-22,2024-04-23
40,"Technical Test ""Minimum Height Trees"" and ""Zigzag Conversion"" [LeetCode](https",LeetCode,2024-04-23,April,Tuesday,2024-04-23,2024-04-24
41,Tkinter - Map View,GUI,2024-04-24,April,Wednesday,2024-04-24,2024-04-25
42,Tkinter - Digital Clock,GUI,2024-04-25,April,Thursday,2024-04-25,2024-04-26
43,PySpark (Quickstart,Others,2024-04-26,April,Friday,2024-04-26,2024-04-27
44,Daily Routine with Desktop Notifications,Others,2024-04-27,April,Saturday,2024-04-27,2024-04-28
45,Language Detection,Others,2024-04-28,April,Sunday,2024-04-28,2024-04-29
46,"Technical Test ""MedianSortedArrays"" and ""lengthOfLongestSubstring"" [LeetCode](https",LeetCode,2024-04-29,April,Monday,2024-04-29,2024-04-30
47,Currency Converter,Others,2024-04-30,April,Tuesday,2024-04-30,2024-05-01
48,Perceptron,Others,2024-05-01,May,Wednesday,2024-05-01,2024-05-02
49,"Technical Test ""Reverse Integer"" and ""Longest Palindromic Substring"" [LeetCode](https",LeetCode,2024-05-02,May,Thursday,2024-05-02,2024-05-03
50,Students Performance in Exams [Kaggle](https,Data Scientist (Kaggle),2024-05-03,May,Friday,2024-05-03,2024-05-04
51,Interactive Menu for YouTube and Web Searches,Web Development,2024-05-04,May,Saturday,2024-05-04,2024-05-05
52,Task Manager Performance,Others,2024-05-05,May,Sunday,2024-05-05,2024-05-06
53,"Technical Test ""Integer to Roman"" and ""Container With Most Water"" [LeetCode](https",LeetCode,2024-05-06,May,Monday,2024-05-06,2024-05-07
54,Background Remove Flask,GUI,2024-05-07,May,Tuesday,2024-05-07,2024-05-08
55,Multiple Files Renamer,Others,2024-05-08,May,Wednesday,2024-05-08,2024-05-09
56,"Technical Test ""threeSum"" and ""threeSumClosest"" [LeetCode](https",LeetCode,2024-05-09,May,Thursday,2024-05-09,2024-05-10
57,KeyLogger,Others,2024-05-10,May,Friday,2024-05-10,2024-05-11
58,Matrix Effect,Others,2024-05-11,May,Saturday,2024-05-11,2024-05-12
59,Dice-Rolling [realpython.com](https,Others,2024-05-12,May,Sunday,2024-05-12,2024-05-13
60,"Technical Test ""letterCombinations"" and ""4Sum"" [LeetCode](https",LeetCode,2024-05-13,May,Monday,2024-05-13,2024-05-14
61,Anemia Types Classification [Kaggle](https,Data Scientist (Kaggle),2024-05-14,May,Tuesday,2024-05-14,2024-05-15
62,Cinema Management System using OOP,OOP,2024-05-15,May,Wednesday,2024-05-15,2024-05-16
63,"Technical Test ""removeNthFromEnd"" and ""isMatch"" [LeetCode](https",LeetCode,2024-05-16,May,Thursday,2024-05-16,2024-05-17
64,Contour Plots in Matplotlib - Visualize 3D Functions in 2D [NeuralNine](https,Data Visualization,2024-05-17,May,Friday,2024-05-17,2024-05-18
