EmployeeID,Date,EntryTime,ExitTime,Department,Role
E001,2025-05-01,09:30,18:45,IT,Developer
E002,2025-05-01,10:30,18:30,Sales,Sales Manager
E003,2025-05-01,09:15,17:45,Finance,Financial Analyst
E004,2025-05-01,08:05,15:05,Finance,Financial Analyst
E005,2025-05-01,09:30,16:30,IT,Developer
E006,2025-05-01,08:30,16:30,Finance,Accountant
E007,2025-05-01,10:00,17:00,IT,System Administrator
E008,2025-05-01,09:10,16:25,Sales,Sales Manager
E010,2025-05-01,09:05,16:20,Operations,Operations Manager
E011,2025-05-01,09:10,17:25,IT,Developer
E012,2025-05-01,10:15,17:45,HR,Recruiter
E013,2025-05-01,09:00,18:15,HR,HR Specialist
E014,2025-05-01,09:15,17:30,HR,Recruiter
E015,2025-05-01,10:00,17:15,Operations,Operations Manager
E016,2025-05-01,08:05,17:20,HR,HR Specialist
E017,2025-05-01,09:30,18:30,Finance,Financial Analyst
E018,2025-05-01,09:10,16:10,IT,System Administrator
E019,2025-05-01,09:30,18:45,Operations,Coordinator
E020,2025-05-01,08:10,17:10,IT,System Administrator
E021,2025-05-01,09:15,18:30,Sales,Sales Representative
E022,2025-05-01,09:10,17:25,IT,Developer
E023,2025-05-01,10:00,18:00,HR,HR Specialist
E024,2025-05-01,09:05,17:05,IT,Developer
E025,2025-05-01,08:15,15:30,IT,Developer
E026,2025-05-01,09:10,18:10,Finance,Accountant
E027,2025-05-01,09:15,17:45,HR,Recruiter
E028,2025-05-01,10:30,18:30,Finance,Financial Analyst
E029,2025-05-01,09:05,16:35,Operations,Operations Manager
E030,2025-05-01,10:15,17:15,Operations,Operations Manager
E031,2025-05-01,09:00,17:30,Sales,Sales Representative
E032,2025-05-01,09:30,18:30,Operations,Coordinator
E034,2025-05-01,09:30,16:30,Finance,Financial Analyst
E035,2025-05-01,10:15,18:45,Sales,Sales Manager
E036,2025-05-01,09:00,16:30,Operations,Operations Manager
E037,2025-05-01,09:10,18:25,HR,HR Specialist
E038,2025-05-01,09:05,16:35,Operations,Operations Manager
E039,2025-05-01,09:05,18:35,Sales,Sales Manager
E040,2025-05-01,09:00,16:00,Finance,Accountant
E042,2025-05-01,09:30,16:45,Operations,Coordinator
E043,2025-05-01,08:05,17:20,Sales,Sales Representative
E044,2025-05-01,09:10,17:40,IT,System Administrator
E045,2025-05-01,10:05,17:20,IT,Developer
E046,2025-05-01,09:05,16:05,Sales,Sales Manager
E047,2025-05-01,08:15,15:30,Sales,Sales Representative
E048,2025-05-01,08:05,16:20,HR,HR Specialist
E049,2025-05-01,09:15,18:45,HR,HR Specialist
E050,2025-05-01,09:00,18:00,Finance,Financial Analyst
E002,2025-05-02,08:10,15:25,Finance,Accountant
E003,2025-05-02,09:10,17:10,IT,Developer
E004,2025-05-02,09:30,16:30,IT,System Administrator
E005,2025-05-02,09:15,18:45,IT,Developer
E006,2025-05-02,09:15,17:30,Operations,Coordinator
E007,2025-05-02,09:00,16:15,IT,Developer
E008,2025-05-02,08:00,17:30,IT,Developer
E009,2025-05-02,09:30,16:30,Finance,Accountant
E010,2025-05-02,08:30,17:30,Operations,Coordinator
E011,2025-05-02,09:30,16:30,IT,Developer
E012,2025-05-02,09:30,18:30,IT,System Administrator
E013,2025-05-02,10:00,19:15,Operations,Coordinator
E014,2025-05-02,09:00,16:15,Sales,Sales Manager
