reviewId,content,score
5f2d8570-d6a1-4d24-bf24-1104badceb39,There is no possibility to go further the premium ads. Display is flickering Update: issue was solved quickly. The app is fine,5
0aad1b00-f472-43e8-9335-ab50334259f1,"They email me and told me they canceled it, and then charged me money anyways.",1
3b4ec632-5c8c-4de9-b23c-592596b9c5d6,Im going to start now,5
9c6bd009-26cb-4c1a-bd77-8a855743a76a,Easy to use.,5
1bfbbc18-12e6-43a7-acd8-862772298b3e,Very good 💯,4
d178a341-e3a1-40d6-a2b2-747aa2a92a90,excellent,5
e51014a2-0960-42f0-b955-8cce468bebf2,"Your system is so secure a can't even sign in. It wants to sends second verification to my email which I never receive. You can close my account because it's more trouble than is worth. I do not recommend this app even though I have used it in the past with no problems. This app should have a step to resubmit the code if one is not received. I can find no phone numbers for technical support. Unfortunately your app is history. Sorry, I uninstalled it and will not retry",1
bc040346-f9e6-485b-b395-103427498232,I want account cancelled,2
012f34db-0528-40e8-a63a-1348935534df,not what I expected,1
f5680d30-12e1-4dbd-88c8-530f08d16af0,Very good & useful app.,5
eebd3e05-3d39-4613-922f-92623b6bca76,"I've been a long-time Dropbox user, but their recent practices are disappointing. The constant barrage of upgrade emails is harassment. The advertised storage limits are deceptive; file sizes are manipulated to make you run out of space quickly, pushing you to pay for more storage. This feels like a deliberate attempt to make users spend money. Dropbox's approach to storage management and aggressive marketing is frustrating. I would not recommend Dropbox for fair and transparent cloud storage",1
acc845ae-03b7-4e6c-9d08-5b632f0be89f,Getting trouble in login... After that step two verification codes... Please remove that feature... Or help me out!,3
4e3d2f66-48f6-4ef8-860b-8f870c62cfc3,"The most wonderful place to save your important files permanently, free of cost.",5
7bd54c11-1ce6-4608-93f0-8cdefb2fb851,I can't log in to my device. I have clicked YES in the email confirmation to link with new device but still unable to log in. I have tried 20 times!!!,1
23c5e526-15ce-461f-a6d1-8c760527b84d,Best but 2gb,5
74c21362-2913-4f30-8b4c-00f6b041ee8f,CANNOT use a lit of feature . Cannot unsubscribe. Please unsubscribe me.,1
cf36da79-94f3-4ed9-98dc-368284ff3b81,Nice app,3
63341e83-34d5-46a6-9369-d953a1842e9d,excellent,5
7089c97e-9c7f-405f-a090-ffa5cbc4da07,Tried to force me to purchase what I did not want. Locked up.,1
c641c214-eab6-492e-8f75-b9ee31336c9b,Ahh I ran out of memories I need reupload,4
62e1b81d-437d-409f-b316-576546ee0f81,To expensive will decide to live soon,1
3eb91770-fbb2-4ad8-ad47-82f50c239699,Drive,5
c77deaf6-92ef-477a-98de-1d475b06b1fe,It's cloud storage for rich people who don't know how to pick a better service.,1
0476842d-0fb9-4ff9-824e-a68d8327787d,Good to keep pictures safe,5
026c3661-dfa3-43f5-907f-ec966e54aa57,N/A,5
2160b5e7-5602-4f6e-96eb-3433c35a893d,good used txn,5
ad9ed6b0-4d42-4757-995a-23e6d6a05d2d,wonderful,5
6464db26-856e-48fc-93e9-969207e86bbe,"How many times are you going to make me click ""Got it"" to the ""we've moved things around"" message? Every time I open the app I am forced to click this message. This is happening on both my phones, every time, so it's not a glitch with my setup but am issue with the app itself. Please remove it.",2
07fc2f59-f0c8-4ba1-91fd-3bbaad030c6f,No refund,1
710b5614-2773-4d61-976a-93dd22075aac,This is the perfect apps for storage but the thing is we encounter some issues like if we save a 90MB of videos storage its good tho but the problem is a week later the video doesn't support any it say in the apps and also the video will be not save at all even tho it save and sorry for my English its my 5th language,4
6a3d8039-82aa-4e51-99cc-c066b3438393,N/a,5
a21567e6-4c64-4aec-9d03-a64cfbeb62f2,Please add Dropbox lite,4
490e957c-ccd5-409e-937b-84b2dd55b308,Sudenly on mobile app my pc folders dissapeared,1
763080e7-dfd4-474a-8933-2146eecd7a5b,usability is at times a bit awkward. like sharing a foto.,3
53586e23-92be-47bc-850f-126146023e2b,"The app all of a sudden has 2 GB limit and you can't really upload much on it , once you delete , you can't upload back and the monthly charge is a lot. Definitely not worth having now.",1
983d955c-ae6d-4a54-a381-3d4088c7f4cf,This app won't update files from my desktop anymore! It's been over a year since the files have been updated. I've tried everything to resolve the issue to no avail. I'm going to delete the app permanently and use something else.,1
28ec76fa-5c18-4a88-bb42-fa4c9d47cddd,N/A,5
36d1a3b6-a723-4f96-a458-7c1e0e4eeea9,I cannot even login it always lags and freezes on every device I have and they are not old.,1
fd22a6a1-c960-4871-b28e-835fc2baa771,Is the best,5
97122f45-ef2e-4002-8e08-2c4e5b4c18f8,Fraudulent company... beware! Dropbox took money out of my account . I tried canceling my subscription the next day to no avail. There isn't a live person to talk with. This company is awful!,1
10803801-f053-440e-9c2b-e2dfa7fffdf8,Great app i love the app,5
f4ee0469-4fd5-4420-8064-ef3a8e839aa1,"solid platform, very happy with Dropbox!",4
5986e1f3-9f13-4077-9268-a344b6aac288,Wonderful . If possible I would rate this 100/100,5
8ffeefba-ff16-4f63-9ae8-45b512b2ee17,ease of use is exceptional 👌,5
1390dea9-6d57-43e1-bb6c-658763f88166,I have been using it for a long time and it is very good.,4
f82fa08a-dbc8-42ac-bac9-d6ce154d699a,I'm frustrated by the app offering too many suggestions on how to use things I do not need or want. It can be incredibly slow on uploads even on a high speed connection. Stop the pop up suggestions!!!,2
4f46fc4f-7590-4023-8d71-0f295df03cef,"They erased all my memories from 15 years , with no explanation dont trust these app horrible experience!",1
a0953b35-7eba-4bfd-aa70-8697c8d658fb,"Please add a configurable timeout for PIN reentry, and please include version history in the app.",4
d4bd78f8-df4d-4a54-a452-5e92921324cb,"One star until you guys fix the ""we've moved things around"" pop-up that I see every. Single. Time. I open the app. How many times do I need to click GOT IT before I can to stop seeing it? Ridiculous. Paid business account and on a Pixel 8 Pro.",1
95ba5552-8e5d-4fac-8fb1-cbad6c0569fe,I shouldn't have to pay for an account to view files that someone else shares with me. Deleting your app. AGAIN.,1
87fbf349-560a-4b03-b392-5bd180ea487e,Exceptional.,5
90df358b-5f37-4a32-ad4e-410199fbd971,It's useless. And cannot cancel. Extremely frustrating,1
2a1744d7-de39-440f-b538-38f062534ac4,stop having pop ups asking for money damn it's sad,1
d664e4cf-cabd-47b9-9348-5e4d27c17f9a,STOP TELLING ME YOU'VE MOVED THINGS AROUND!,1
cacc069f-0c47-48e6-acae-c2893538b767,Impossible to cancel subscription. If you get it you will be paying for it the rest of your life.,1
7eb9cbeb-b615-474e-8396-07535b3622b1,Nice,5
adea735f-57e5-436b-a7ba-446605185f47,its fine for what it does,3
c8d6dc26-e7e0-4458-8d45-2d80ea66d593,nice apps,5
83633684-e6f2-4448-9e74-94f0d7371594,Safe trust,5
db0ddec5-15c1-4dae-a4dd-0bd0377dcac2,Mostly useful,5
dbf97eee-f651-41b4-8dbf-99128810de02,"How many times I'm I gonna get hammered with the message that says ""We've moved things around...""?? I figured it out after seeing it the first 200 times. I get it - now please STOP! 🛑",2
500aa1f2-f685-4346-bd88-ec649d543a89,I'm trying to cancel. I'm not getting options. Free trial ended. Now I paid one month. No live contact,1
76de9303-c83a-4e92-9252-266747eba99c,"I like that the 2 step verification doesn't work, and the passcode is always invalid.",1
6d75ae38-af09-4555-acdb-e242b1d09e35,great service,5
9648a472-a134-4ade-acdf-d6bd80883a66,"I have used this app for many years and I am generally pleased with it. However at the moment, files are not syncing between my mobile and my work laptop.",3
061cd44b-ec76-45fe-b8c6-d02be65c8870,I like it 👌 so much,5
0132e9c6-ced0-46d1-8584-80894b00ecf7,"I have been using Dropbox for over a decade. I use it daily. My only complaint is that every time I open the app now, I get a pop-up that tells me they have moved things around. Every. Single. Time. I open the app. I get it, you moved things, how do I disable this annoying popup?? Stop being ridiculous.",4
956895db-c945-4074-a8df-7dd0cfae07c2,"Is anyone (user) testing the mobile app for personal accounts anymore? I get it, it's not where the 'real' money is, but still... Annoying overlapping popups everywhere, folder contents jumping around when displaying the members count for shared folders at the top, leading to missed clicks (I'm about to uninstall the app over this one) and a few other super annoying things just screaming for a bit of attention. It's sad though, it used to be a cute little app, now it's just another bloated app.",2
d7b0c585-0f13-4d71-b061-9ae75c2f18e1,"New app update has changed for worse, the way we upload files to Dropbox using Share! Can't rename file while uploading. Have to first save file locally, navigate to folder, rename and then upload. New way of directory selection is very annoying. Have been forced to upload complex files via computer.",1
1054ecd0-7673-4d8f-b292-28082233b1c1,I don't consider your app safe right off the bat it gets into all my pictures that's illegal. A lot of apps do this it's disgusting & untrustworthy while trying to work & then when you delete the app your email is still in it just like so many other apps unsafe for emails.,1
6d9939ba-9369-4538-832b-36ce14980938,I really like Dropbox. It's reliable for what I need.,5
47f8564d-bc7c-46c3-a0ab-b8d2a46311bb,"Can't open the app for ages, several updates changed nothing. Usually I get stuck on blinking ""try 30 days for free"" screen. Thankfully, I don't need it that much on phone. 🙄",1
a937a481-4ec7-4840-bd0d-eaf1762ec864,Best app,5
8faa25bf-2c77-496d-89f9-47d3610fffa0,"Got it? Got it? Got it? Got it? Got it? Got it? I know, it's annoying, right? So quit asking it.",3
9276ab5e-39c0-438b-b7c8-066db6e74f6b,Uninstalling almost broke my phone,1
ed5bfd2c-c682-45f0-aac4-17060c3716a1,I'm trying to drop an excel spreadsheet into NY Dropbox,5
0c88845c-043e-4ac4-bb8a-f5d7118ac600,I'm trying to cancel my subscription and it will not let me cancel my subscription I've tried to ask for the help desk and it will not take me there telling me there's an error. I want to cancel my subscription,1
c8360fa3-15a1-4bd4-ad9b-03a267b8484c,Plz make a notes app!! As everyone know Google will surely use our personal data for it's company's personal use and i believe that you wouldn't,5
4c24a002-a38b-418c-9e2f-e1e701722b62,Used to have the free 2gb version but I can't get it on my new phone. Just another rip off!!,1
e771b233-fd1d-4091-b4b7-bfb8bbc40c9e,"Hey Dropbox, we don't need your ugly clipart in the App that doesn't serve any purpose other than making me scroll more",1
5420d91a-0591-4af7-a8c9-c9874e3afc62,"Not too much storage like others cloud storage apps, increase storage on your app",2
d4b44d7a-b0ec-4afd-9775-5f21d1a410fc,"keeps taking money altho im on basic account. Because im on Basic, i wont be able to contact support, but get charged every month",1
a9e4cdd5-204b-460c-8d7a-5dacb6be36ac,😊,5
962a87a6-d8ae-4269-bef8-9f7ee7ba0cae,"doesn’t work well between android phone and macbook. on laptop app the macbook and phone pics show both in cloud, then downloaded macbook pics to phone, # of pics and storage space used on phone says same, but no macbook pics to see on phone or dropbox app on phone. I'll uninstall. its 'dropped' the pics.",1
6cb1f44d-590e-40b4-a222-e5116c7ca786,My information was stolen and I couldn't gain access to my dropbox account. And dropbox isn't helping me gain access to my account. I'll prefer to use an external hard drive,2
14d992c0-fa42-4ba9-ac43-b8a058dc0bd1,Very bad 🤮,1
fd431a86-797f-4234-9ef7-6afd533c4341,Unintuitive compared to on PC.,1
3537ff29-e694-4c4e-acc3-3462f24ca38c,"Issues to login. I love use Dropbox, but Since the last update of my pixel 6 to android beta 15 I am having problems logging into the dropbox app. What is the solution? Ty",5
5844a92a-804d-4e80-b9e7-794e7d196172,"Small free storage space compared to others. Absolutely horrible time uploading files, like many other users. When it's working, it is fairly quick.",2
087460ce-bbcf-45fa-9935-a38e181f6ba9,"Awesome service, very pleased .",5
6b467ad3-2296-4c11-b93d-e82a457f7704,my favorite storage app.,5
b9794b2a-c1fd-49ce-8347-0596ceaa48fb,Its good,5
b013d1b8-cb4f-41ca-8641-3850e0f2ecaa,Has been a concern since Ashford University art institute and Microsoft office still is a major sell your data to the dark web breach way to go bing,1
dc849329-5986-4836-a4bd-3f79588fe612,sucks it allows hackers to remotely download and access your privacy!! Where is the backend protection?,1
d96619d4-6f7a-464d-babb-8ce0a54f7d74,The upgrade has a persistent popup explaining the changes. Have to x it out all the time.,1
e04eb46f-09b7-49e4-902f-9faa323b3f6b,Best app ever but needs improvement on storage,4
ca6e3ee7-58ad-4a6d-a2dc-9a5c97c82e06,Best this app i really good for your videos and photos,5
9b8c3a5f-2298-441a-ae2e-2eef08dd0dd1,I just can't reach you.I have tried about 10 times to send the security code.,4
6ecbf03a-59f4-41bc-82f0-a07d72ac222c,I can a lot of pictures from the past in dropbox. I have lots of storage space,5
de3ee670-6ed5-4592-881e-d8696dceacbb,still \eaning,4
