reviewId,content,score
e09ad363-7a6d-4500-a81f-d9db1c2a89f6,Thank you,5
d34edd8c-de49-471e-8ae3-32d0d2fba587,Very good,5
d65335e9-750c-4de2-adcd-987a5df28b36,I like messenger my friends deafand hearing women and men on Facebook,5
dc5fecb0-a9ef-440f-b594-3bd728401792,Lovely,5
8303ecc8-0ce6-4088-abf6-905ec95a6417,Osmlbgnc in un ok kooil 💐💐📱,4
9a51f8b4-b012-4251-a0cd-d64b6ca0f1e6,Good,5
5b6025a7-3413-4522-941a-0d003e91d345,Good 👍,5
a6c4b4c1-efed-47f5-92c5-e74a21c3ce12,Excellent,5
ab7f8306-ce28-4862-bb04-a3d017a976d7,Nice messenger,5
039ffb30-857f-4442-b016-96fb4b75d6d1,💝❤️💐,4
3255de51-9635-4e3a-92ac-4b2d7f5d3108,👍👍👍👍,5
9c66f137-6a16-4c86-9885-26bfee2bd1cc,Better to used messenger,5
e0994cb0-d91b-4231-8bb5-b5feb18a7d43,Very nice,5
808c0167-d3df-4743-b469-4aaba71285bb,Best,5
8bd1ee5a-6b94-4a14-a367-ee9e66f6105c,"Terrible! I always encounter a problem with this application, I can not receive or send a message. It's happened many times already. I have to install an FB Lite to enable for me to read and send a message, you can't rely on this application alone, I have to use another app. Tsk",1
a1946929-92c7-4770-800a-85cb85ae4054,"Bad for privacy, vulgarity, fake accounts",1
b7f903f0-fd34-40da-a330-ca78d75758c2,Okay 😊,1
947c3fe3-f344-460f-b666-5b888b54ccb0,Quadri Basit,5
d6ba455a-7ab4-4edb-8550-f0ab6c5d3a10,I like it because this app I can sent message quickly to my friends and also video call,5
03885e6c-4b79-444f-8bd4-3f27060058b2,Hindi ko nagagandahan yung end to end nawawla chatan kapag nag loko yung messenger haysts,1
cdca2c08-5394-4f7b-a768-2ef4ad5fe0d6,Nice ❤️🙂 to see 🙈,5
fe04b760-b3a1-4d3c-a7df-da00395c81cd,Ok,5
44667d2f-8c40-4c71-9ab1-da074f1cd134,Very bad app... I don't like this app,1
5f938c37-5acc-4a7e-ab4d-acb57893de1f,Censorship even in private messages? No thanks 👎🏻,1
