reviewId,content,score
ef250e48-34f4-41bf-b99a-0c6ab471fab5,Very perfect and comfortable to finish the ppt,5
7fac3cb6-3443-4b96-97b8-1c0234a56d35,Best,5
8a78c510-bd33-4f2c-ab38-96a2fb0b5afa,good 😊👍,5
84eb8bba-1745-4873-8e04-e82f95d9350a,Diam,5
66b617a0-ed56-4ea3-b0cc-70111bfed444,Microsoft PowerPoint is a very good tool for creating outstanding presentation. But to insert videos in the presentation should be present as well.,3
b300c236-246d-4351-a948-cfa6f0950b2f,good,5
7fb0be74-894d-412c-a2fc-63af0d9d5392,FOR MY COLLEGE PRESENTATION PURPOSE IT WAS BEST,5
21299044-6aac-4511-8179-6c7f86c16c4e,nice,1
d4198238-bd7a-4a2b-943c-2a46413d2a0e,Most usefulness us.,5
1218260e-ab91-43e1-b0b8-746e328b9622,Excellent,5
f5465f0c-893e-494b-ad1a-75f043c66b4f,This app is very easy to use.,5
42468943-2d2b-4717-9c30-28be3dc2eb9f,Its not opned waste app,1
0de994d3-dee0-4548-94e0-b68f7cf2559e,very easy to be ready the content,5
a478ad5d-5e7b-4cf4-9ff0-3ace3d43cefa,Good,1
7261c395-1e0f-4725-a3e7-7b9f6c144488,"I thank this app for thoroughly wasting 2 hours of my time when it could have literally been an hour. Thank you for being so helpful and absolutely laggy, even when merely editing texts. I absolutely do not recommend 10/10. If given a choice to choose an app to make a presentation on, I would definitely never choose this. Never again. Bless you, and may my tongue be cleansed for all the cursing I've been spouting.",1
221e9944-27d5-4fef-96c7-7172484341dd,It is so nice to use when you have projects and assignments and also exams! 😁,5
2421d1bd-a0ff-4809-8526-75ad1c1e81d8,Ningaraj.Yalameli,5
d7f2ed47-a6cd-4f4b-8b2a-ed53844cd249,good 👍,1
b854c605-013a-4872-a628-bbf30c357580,it's super good for my activities in school,4
0bf2027d-06b3-4e2f-bd60-a73bc915d274,it's good,5
b3387749-b7ef-4540-a489-79d3f5bbb2a9,কোন,5
02c8660e-daf7-410d-bab3-d46f6d796e4d,"This app is great for taking notes, organizing and studying. It helps me see the bigger picture of what I am learning in school. also I would use this app to look at video games, movies, and TV shows.",5
42da0593-17d7-4768-b130-dcfb0ac7e457,good,5
e632ca67-96e0-406f-ad36-7e4d5178f70b,j ha hn,5
7872cc2c-338b-438d-ba0b-ffbcc1400ee4,Good,5
e8a8004d-fa44-470c-8f24-8cec597f5cd6,keren banget bagus buat presentasi,4
29212870-0827-4fc9-9f91-01eeff6978db,nice 👍,5
48c23f63-263e-43f6-ac52-811e9745e642,superb,4
5967b919-25b0-4e4f-be83-5607fff08aba,super Work,5
9df8db79-e873-4f9a-9554-a8efbd201772,good 😊,4
43387245-fee1-4d0e-9010-66e39afe9fc4,best,5
192047c1-37e0-4a28-90d9-5f625bca72c1,good,5
69a784b0-0b89-42ea-9fe0-d2c43dd7618c,it's a good platform to work,5
5bca7d54-6e09-4e9a-a6f4-1382a0d41552,not too good 😊,3
00de2f34-5728-4c2b-8e36-8913e9ac30c7,good,5
f1c73a3b-d2db-4222-97a1-91db3e23b664,Awesome,5
888455a9-12eb-457d-be8f-c8a89db7063c,No free excess on tab🤬,1
91372ec3-75b5-47dc-9ed6-38335982b158,this is very nice app you can try this,5
3b04a8c4-1396-4e18-b560-9de494932145,good,5
a462fa9d-601d-4c33-b671-114b265bb4fb,very good and usefull app 😊😊😊👍👍,5
51eca71a-fc30-42bc-ab62-bb752440e663,VERY GOOD,5
3bcff946-9b1f-4215-9189-9b4dae628db0,So wort it,5
6def1934-beff-49c8-8e17-0aae85c4c2a1,"Very Good App, very easy to use.",5
333e5c05-c610-4be1-95b8-9befc69ff025,nice,5
433bce6a-df11-482f-9fb1-07796d485811,nice,2
bb1d1c00-8c42-48cb-aa76-fd53c0c32359,good app,3
f6f5ada5-0ff3-432b-ae4a-0904376e9456,"if you're looking to for a great app to help you with presentations,it's great, offers lots of assistance to beginners",5
a0af2c5d-04c0-401d-b7a9-ad362dd19576,Let me try it out and then provide you the right information and areas to improve.,4
b8de0e18-cf2e-40ee-bcac-417ba5af79ef,good,5
2a3674dd-f00e-47b6-9267-b89aba3ad2bb,very good,5
25e4af25-90c0-43cb-a188-ac9ab704f892,good,5
dc41b29f-5a3e-4b04-96d3-81cf10522d19,best,5
b725dc14-d5b4-42f2-8bd9-42be589f2a9f,very good,5
240c9fc7-cce3-4dbf-8c18-6e5b4fa7a645,Works just fine 🙂,5
b11ad5ed-4553-4aa2-bc58-f3256b5ffe82,awesome,5
abfc126b-3ddb-48c0-9e1c-07c7e8566798,Good for presentstion,5
ce7e94d8-0e97-45c6-b4a3-c944f677b2d4,Good for business and home picture slideshows 10☆,5
1fdacabc-a91b-4780-a7c2-4ef92b5b05c9,Wow,5
074700ac-3dd5-42bb-a2ff-a269bcbdeb47,"I love this app so much, it really helped me honestly",5
9f40a7da-c63d-408d-8941-960b65aa5914,good,5
a2389e59-cfae-4512-a6b8-545021f7516c,why not support nepali preeti font mobile powerpoint,5
0d012903-6ca3-4ad4-9865-ff2a3df0688d,Better,5
b6f5922e-40bc-4f24-b528-33a625a80b55,good,3
2ef30b31-9870-4beb-a3ca-113695da599c,really good..,5
b7de3020-d63a-4937-8580-564e351bf9e8,good creative application,5
7509a2c3-0390-4c31-aab1-4d1bd139f360,good,5
15e4cdef-71c5-4f75-9a57-1be52e195a72,Good,5
611d1a69-0eb4-4cc4-976b-df11f825ef9a,This app is good for presentation,3
e09c8ae7-6338-4f1c-980e-a3848db3f9ac,nice,5
9cb7b9ca-cfea-446d-9026-04dfd05bc8f8,literary very amazing 😍,5
fad92135-2f36-414e-ac04-d4f0a0e4c3b2,good,5
28daf7dc-4c05-4c76-833c-2118aef00c99,the Best presentation app ever,4
5ab3e682-d25c-48fa-8ecc-71d7a2c45fda,this app is very good but please don't make it paid in the future if you want it to be more better,4
b0ab37ae-ff49-4129-aac7-d1cb7dd8b012,okay,4
4dee4af6-9f78-4906-b262-229b15c0c1ef,Very bad app,5
afa2eb7c-e180-4086-9b46-4ce96137b410,Privacy protection irlandoEstevSemedo,5
