reviewId,content,score
cf4c0b64-9e5e-4dfc-9a6c-7fa88cff46ae,"Netflix loves watching movies on Netflix, and the app is wow love the quality, but sometimes it can get annoying to see my favorite movie go away and episode.",5
55190db8-9bc4-4ac7-afec-c77ef9e7b3e9,CHANGE IT SO YOU CAN WATCH THE MOVIES I SIGN IN MY EMAIL EVERY DAY,1
11fcb4e8-ba2c-47b8-914b-c9ac96812218,Let me try it out and then provide you the right information and areas to improve.,3
0a3d23da-0bc7-483f-adcc-c6cab17c1794,Ohh yes daddy,5
ad41e158-3746-4877-9f67-0050fd8fc695,Great,5
1b10ae24-1ce5-4632-9ab7-4cedc3120f8f,Is a very good app,4
9ea89a05-fb4e-4b1b-97ad-c39ec71d56ae,"I've had Netflix since the DVD era, but this new pricing tactic is despicable. I will never waste a dollar on Netflix again.",1
d6a65e9a-094b-4d12-8673-89db4bd0f77c,Very good,5
c14ae7b4-2e26-4d0b-ab37-67cfb53269a8,K yeah dear cool,5
aa52c756-427a-48b0-b9c3-d77e8ff4db31,The best,5
42ded8be-92c9-47da-a990-fab377725405,We need more movies & series. 💯,4
7b2a264c-7bb5-4729-b3d2-2168f8a7855e,"I pay $18/month for an app that's super glitchy. If I rewind or skip more than 20 secs when watching a show/movie, it stops playing and buffers for infinity. I have to back out of the show onto the main screen, then click back in, but it'll start the show from 10 minutes back, or it'll start on the previous episode that I just finished watching. Happens every time",2
10faea27-b33d-40bb-b669-cf126438d525,Netflix plzz this kdrama dubbed in hindi . Happiness .hometown cha cha cha . Hospital playlist . Doctor slump . School 2017 . Run on . Welcome to samdal-ri . Hidden love . Our beloved summer . Decent of the sun,5
61a10e0d-e868-4d87-aa30-f41d30285a3f,Terrible app I can't watch anything because of the household warning,1
9c5c9819-9fdb-41c1-aa66-458f63e5de4e,Atleast some of the series must be free of cost then the rating may be better,1
1a7ce341-afc6-46da-9d08-793582e8ed3c,"I love 💕💕 to download it,,😭",5
1bd445c3-7f36-4717-810a-63c5533207d0,Exceptional,5
f21a1d8a-2b4c-4385-8aff-ca317a00e032,Great,5
bdd267b4-4231-4a5d-b369-3ac9e5082fc5,Your device is not part of the Netflix Householde is not good police way every 14 days confirmation its truble I use it last 2 year butt now I stop it,1
fe550ddd-1ae5-4902-9593-824ecb9b6598,"I give netflix a two because even though it is a good app with a lot of great movies and tv series on there there are multiple problems such as: the movie playing but has a loading symbol in the middle which is very distracting, you press play and it will go like 3 episodes behind what you are actually on and adverts....... I do not think i have to say anymore than adverts are annoying, i pay for netflix so therefore i expect there to be no adverts. If there were no ads i would give it a 4 star.",2
7dc087d2-85d3-4847-bb21-4efafcb28aa4,Stupid new household rules,1
90ec4fec-8d09-4100-a8d5-9bf6339acef9,"I can't watch a movie when it only plays 5 seconds at a time and then pauses itself, definitely NOT worth paying for...",1
125df2e0-3c00-4158-829b-e6d865b7e389,👍 👍,4
3e5e493f-ac3a-4e6b-9ef5-1067a95afcfc,It has been very helpful,5
4016bb59-9133-4419-9b21-13fcdf48335c,Great 👍,5
293de10e-e639-4986-8559-713a82d69b9f,Doesn't work on my device,1
0c5b9075-c234-474a-96ad-dac4c0acf7fc,Nice and overall really good I really needed Netflix on my phone,5
b114785a-ec34-43ad-bc16-37caffb2311b,I dont know yet,3
603fef7f-8d8c-4c37-baea-ff4cbfb090b6,Has stopped working on my smart TV since the recent update so disheartening.,1
687d89f0-0997-496e-a146-d1bd1fd23d4b,Good,5
75fb132a-3695-42ce-8705-88004c4ecd4d,"It's okay, because they have a lot of movies but THEY REMOVED HUNGER GAMES! And Hunger games was the best, I always watched it. And without Hunger games, it's not the same. Do you feel the same?",3
4c11e4fb-9af2-469e-ba2a-b8ea66965ebb,"These idiots send a text to MY phone to tell me MY phone isnt a device in MY household, like 6x a year. My phone is the main place I watch netflix. Why do i need to jump through hoops?",1
b0eb89b7-f4d2-4e51-979d-7777c803fff9,Thanks again,5
bec52ac8-fac9-40ab-82a1-b02cd06df1e5,Tired of all the BS. They sit here and act like they're broke constantly charging you more money. I use the app on my phone a lot and usually I can't see half of the content because it won't load no matter what I do.,1
35e6fe96-5a2d-49a9-b27a-d67e4151de3a,Excelent,5
f58cc007-ce94-45a9-bfd0-df4eec82942c,👍,5
9e4d9d45-af5f-40d8-b906-c7e4fe27a584,"I go between my families houses and I can't watch unless I'm at one location unless you pay an extra fee of $7.99! Greedy company! Used to be good until all of these horrible pricing changes and account locking issues. Stop locking us behind extra fees and ""account sharing rules"" when I'm apart of the same household! Greedy Greedy Greedy!!!",1
3a23b169-fc05-44ff-9e86-f60faed6589d,"Really good, never had any problems except for finding good kdramas",5
16212213-3d18-426d-8a61-b71d81cd64f6,Great thanks,5
471e058d-2d52-4731-88ed-2e544c77e760,Not a great product and declining,2
a9baf4fb-e729-4df2-9ceb-d14beb590af8,"The crack down on account sharing has made using Netflix as a student almost impossible as I move around so much. It is my account and yet Netflix regularly locks me out, even though I pay for the service. Ridiculous, going to cancel soon.",1
34299e18-4254-4adb-8fe9-9f6faf373266,Hey Netflix some problem in your app please recover,1
2673eb4d-dc69-4c1d-8474-846bbdbe92c4,best App Ever,5
af31b154-b41e-4a2f-8726-5849d85d4f0b,"The corporate greed as overtaken the utility that this app provides, streaming has just become the same thing as cable TV",1
10b4081b-a975-433e-8b5a-1f965a835bad,I heat your application,5
faa554d6-b1b6-4752-a1be-e0472074ad63,Movie,5
3bac5e93-588b-4cd5-b49c-59eb09c4baa7,365 deys,5
bd836733-0d49-4488-b064-dfb94c84d33e,💕❤️❤️❤️❤️❤️,5
8a125e00-311f-481e-bbf0-acef379002e5,Updated 04.07.2024. 👌,5
032d8b0a-76c6-44d4-836b-a7efd62b967e,Can't even log in so I roundhouse kicked my nan violently down the stairs,1
c7230197-adbc-42bf-9f3a-50cfb3e58cbd,"Stop showing shows and movies you have locked behind a paywall when I'm already paying you monthly, you scum. Either don't show it or I'll definitely be leaving the subscription. Imagine having a multi billion dollar company and still being so greedy you beg for more and more. Either have the show on netflix or don't. This review is because netflix is blocking vikings. Either have the full seasons every episode or nothing. Nobody has ever asked for s1 and s4. Ever in all of history.",1
1d5c3f5d-8c53-47f9-9e59-423f3f50d87a,It's wonderful,5
954623ab-c112-4d6a-ab18-f43674c5179a,I like Netflix series and movies so much but I gave it 4 star because most of the time it has no hindi dubbed animes I also like them to watch in Japanese but I will prefer hindi as an Indian BTW love I love this app,4
5757661d-f3b6-433c-9968-bdaa73062240,"Good experience but my baby want to watch titanic,so please add the movie in Netflix asap",4
9e9a8d29-1994-4c06-8e01-1992ce1e1111,Good,5
4b7ca094-c67b-4d42-8354-010b5a6e8e78,Wow super nice,5
af88cca4-6b92-4bac-bc1f-ac32e2591ac7,Abdulrhamam Sekh,4
72abe6c8-117c-4c8d-a058-83661d98db0b,Nice experience ❤️,5
a3799523-2648-4076-9c28-aef2c823ada5,big thumbs down for the household update,1
0c110a49-77b2-4829-9dc0-a48809eb5bb3,Love🥀❤️,5
e99f4c7b-6f91-47f9-90b0-29dc96130bca,Cannot get Netflix on my phone Again,5
1e4cf1fb-6519-4242-b4a5-f495512a53a9,Create video resolution and HDR options,3
