reviewId,content,score
43f1ae2d-e408-4d17-bda6-07e08caf433a,awesome,5
4fa190fe-8104-42c8-853b-f5fead25a611,Bad,1
ed7f0276-429a-4813-ab95-aa69c207a98d,I can not make a call for weeks. I have to report the problem and wait for an hour wishing they can fix it. I also uninstall and reinstalled. Nothing improved.,1
77a4529d-0333-4b30-9663-d422422b875f,pretty,5
dc57373b-bca6-46bd-b799-5296644e6c8f,Easy to use.,5
7fe0975d-8de5-48be-991d-ca8948b0cf40,love it,5
12c5c6db-24cd-4978-bcef-fcd695b3227f,Good,5
b9ac8b4a-9b7e-42ca-b087-cbe84bcc4705,I like this app,5
be8be800-1cb5-41d9-9a0c-23cf148584fd,Todayis the 4th day they fix (probably don't fix) the issue with scummers live chats endless messages,1
8ea76430-06da-4f75-8d28-c88eef5d21b0,Absolute trash.,1
dddcb368-1358-448a-ad6e-56ccbd63692b,The best app in the world,5
ad5e3b49-f61e-47dc-ba04-e2456eb3da5b,Laggy slow,1
cef8c7a9-2285-4d1c-8d23-48c2454137bf,Sound is very clear.,5
19c480cc-be53-4206-a300-338f37c0aa72,"Super laggy, typing is very annoying like it 2 3 seconds delay after each character you type. Scrolling up messages and saw nothing cause it hadn't load up yet. Sending messages takes 10 whole seconds. You might think its wifi or internet problem, NOPE mine is at fullbar. I asked the other and they're having the same issue",1
81a47c3b-67ad-4da5-a86f-dbe9495e68f1,Had good connection on a 1 hour call with my employment office.,5
c1e1210e-ca08-4182-9934-8c358f5ef04b,good App,1
1a574c73-174c-4a1c-918c-691f1b9e01dc,Ningaraj.Yalameli,5
88ce0e07-e2a1-4a2f-82a1-3611779941d4,u love it I love it we love they love it but he and she love it 😀,5
8fe36b61-64f9-414e-b8cd-7ce7b73fe6b2,Constantly glitches.,2
f5f1082a-80ac-4a51-9f14-e3c8a6d80734,"I do alot of traveling and I paid for the Skype premium. This is the most undependable and clumsy UI I e ever used. I'm talking about freezing, dropping calls, message and more. Whatapp is 1000x smoother. And you think a Microsoft can get it right... Nope. I don't news feed just a working app",1
b4e86cd5-6acf-4415-811f-5cbfa05498a3,it is helpfull and useful and it is great for online lessons . the only thing i hate is that the internet is not good at all so i donot recommend thjs app for u,5
75f899ff-521b-4ff3-9edb-3a5d992dd4bf,I love it,4
503cf868-cc93-4140-9d01-fd327d31c0d4,"If you want to use this application you better have 1000USD phone. Unresponsive, several minutes start up times, connection to other party normally takes so long that actually when other party picks up you still hear connection sound, doesn't follow phone sound settings such as BT etc. These problems now been at least 5 years. Useless fluff to already too heavy app like Now and Copilot.",1
5a29af42-16ef-4ea3-beaa-780b24f920da,good,5
7852e147-3723-43cd-ba71-ccf3eeb728aa,Good,5
055a051f-4961-4fcc-8cbc-e91f418a38cf,Good,5
6a4e5cc9-94b2-41b2-bd5c-db67a1b6bdf9,Very good,5
d7fa83e5-a23c-42b2-9ec2-fefd033f086b,nice,5
35a26fdb-0fd3-482b-b6fc-92fb8dcbfd79,Good,5
9682a0d9-91cf-42aa-b013-661df56718ac,good,5
f13d7b38-2c46-43f0-84ef-f7a5ec8e3a87,"very good and easy service providers,,😘😘😘",5
3d594515-19d5-45e7-9851-012eab51a6ea,"we are using Skype long time ago, and we are very happy, Thank you Skype, excellent, Jamal from Saudi Arabia 👌",5
79011dd6-c30c-448e-b309-3be2994c721f,good,5
95fab7ef-5442-476d-ad01-9a1163ab43df,Latest update. File media sharing problem,2
0f0caf19-3f46-4ba5-b81f-6400e42acc50,good,5
e4cb0d8d-69ed-4da8-97f0-654a4687c639,Very very good apps,5
f46f27a6-7c9a-4473-9447-13efaa266fa6,Good,3
c93520f7-d599-4c19-a0a9-1d231c7b4b89,Nor able to launch after update on Android phone,2
6cd012af-607a-4089-8388-e08159fdec04,This is the best app I've ever used well telegram is more greater,5
54b9358c-638f-4d04-9ecb-c035c7821a8d,"I don't know wth i was talking about. Its just a bit buggy, but i can deal with that. I didn't even know i tried to get skype, lol. Sorry for being mean",5
f434ae01-8bf0-43cf-8295-748fae190f5e,"It was working fine at first, now is not giving me any notification, no sound, no showing on my phone either. The only way to know is by going to the app and check if someone had send me a text. I have had many problems bc of this situation. I alredy try to fixed it and nothing so far has work, the only thing I can think of is thar is on the apps part to solve it.",2
3ce83926-b3d0-4b78-90be-2a22cd6f36a7,"The video gets frozen often. The call gets hang even with good internet. The app it self is very laggy. The functions aren’t well-organized. Suggestions: 1) Make the app simple(ex: like what's app or simpler) 2) Include auto answer video call. 3) Keep the direct call option. 4) Remove all the unnecessary options and features. 5) The video freezes often, so keep a video refreshing option for the callers so that they can refresh anyones video if the video gets frozen for the the internet.",1
acffef50-c5c1-488f-b0a1-be3ca231db76,"You app is not working in my new mobile I have done all trouble shoot , ac is legged in but there is lot of lag and app get stuck",1
589baa1d-3416-43ea-b344-6089d841d892,It's very nice app,5
562d0735-9db8-47fc-8045-e7d4b4b87de8,Garbage. Inundated with spam. Had to uninstall this junk. Never used it anyway.,1
9dabed25-ddcf-48b8-b701-bfd0b1994e55,very nice Application 👍💯,5
00b0af71-a782-4b5f-a08f-507e08541598,Nice app,5
1cd42101-030c-479b-894d-1f6312eb2dc9,good,4
3122c40b-0ed7-45c2-b58e-2324fe3322bf,lots of spam. report and block doesn't work,1
