reviewId,content,score
c3c7f6be-a8a2-4e96-9040-be256977caa4,recent updates are terrible,1
e5b52f48-9b80-4d40-a223-bb1206c01017,"there really should be an option for 0 stars because that's what this deserves. I got an ad that said I would get 30 minutes ad free, 2 songs played then another ad that said I would 30 minutes of ad free listening, followed by another 4 ads. that's why I will never pay for a subscription because they lie when it's free, I'm not paying money to be lied to more.",1
a3925982-b961-450b-b955-264f53f9732b,Spotify belongs on top,5
f0b8677c-69e9-4531-8783-d15a76bce0a0,You made lyrics a premium feature when they were free before..?? Money hungry like everyone else!!,1
7dfb0ffa-8944-45d9-bfe5-8a2c5cd2a83f,It was better with lyrics,4
7f1fea54-6fb9-49b1-980d-2eb08ec51c9f,Awesomeness music the way you want it!,5
013fa4f4-fe18-4772-9606-ac186fcac25d,Excellent,5
905c3bad-148a-4da7-a226-8b39bf4c3d8a,"Very nice ,song selected wisely.",4
3e2f801d-88a7-41f0-ab8a-2342b1451ce9,These is wrost music player app they have not run next music without premium,1
807ed621-80e1-41eb-aebd-0a2a3890ab9e,I'm present listening in the Spotify premium. I experienced clear audio tracks& music superb ✨❤️ I Love it,5
2fe3861e-408e-48ac-bf89-087522f96fde,By Spotify I am not interested,1
0ca65834-9d5e-4bc1-904f-682d9b05928d,Yeah,5
58942024-c826-42c2-b01d-fba21dd5269a,"Great access to all genres, A++",5
77fda7d8-c57e-43ad-aec6-e44bfbd35da9,Okay,5
83a0677f-4e55-4992-b81b-f621b03f3ea1,It lags a lot or crashes when adding or removing songs from a playlist,3
36979367-fbe7-4f5a-9385-90046f9e50db,Mid,3
07b0f9e4-7e04-4e2e-bc52-cfe0a5e6a804,4 stars cause it never showed lyrics to me.,4
01d6983b-8b01-4f9f-9bf6-c0ffc5e95904,Awesome formatting plays all my favorite songs,5
c9f7df9f-359c-488c-8b62-a2bd42b78e11,Nice apps,5
dd8c8a1b-f70b-4830-92f8-bf35662f001d,Stop jacking up the price. 3rd time and I'm over it. I'd be better off buying every song than pay your ridiculous fee,1
a247538e-16ce-4df1-91fb-abd2d5933f6a,Nothing else compares.,5
3f8b437e-ab7e-4681-b53a-874639b18b1c,Great app for music!,5
72e7bce8-286d-4f43-8972-27f257c52264,Quality music all the time,5
33c94918-6a39-4ab3-8330-c6eee4dfd7e6,I LOVE MUSIIC,5
5a42d837-9321-48e6-b836-3a8017d261f9,I've had Spotify for years this app I just love it,5
1d6fca36-0e4d-4a92-b05d-b40adfc88068,I love this app I mean this Spotify!,5
ae0ea7c7-696a-4070-9551-bb130a29b853,Too many ad breaks. I know I can upgrade 😏,4
95b6abff-50bb-44aa-8269-56e70cc659fc,AYAYAY,5
56030455-8eb8-41b0-b638-35f26457f0d1,Like this app but wierd thing happens gets stuck on what it wants to play instead of when I'm trying to play liked songs. Have to go on a different thing and come back to liked songs for it to work,4
