reviewId,content,score
6a5d07b9-54f5-4949-9d22-7f5d5c9ac87f,The app is annoying and I hate that you can't do anything on the website before it begs you go download the app while sending u to the app store. I don't have much storage I don't need to download the stupid app again.,1
c15b5cd2-7d05-46ad-975b-2925147eb23b,Does this app allow users to download content to their device and watch without an internet connection?,5
bfe7c694-126c-4927-a407-c6821483a804,Great app,5
99de90ce-eb17-4947-a8ea-0bcf6500a335,💯,5
ad1fa2ac-19c3-45e6-a10a-471e9820bff7,nice tiktok,5
c3e28388-5e2a-46d7-9d11-79583d0806b6,Saved data wow I love it 😘,5
1cc60e97-f12a-4401-bbae-ea64b5d111c4,Like,5
eb4713eb-bf5c-4e1c-9b97-c8cc13df8dbb,(｡♡‿♡｡),5
4f0dc0f6-c9c0-484c-bb54-4b45186446f5,Jalil molla,5
904a71fc-341f-4d81-87cf-12c7068fda92,Limon Boss,5
de3a87c5-9ae2-4973-bc7d-2d01a5e06232,"hindi ako makapag send ng tiktok kay bff, walang hiya ka tiktok, i trusted you for years tapos gan’to ibabalik mo sa’kin?",1
400555c9-3d76-41f6-9566-c6b553c28219,"I genuinely don't know how many ads I've gotten but I've blocked so many yet they still show up and I still gets ads for this stupid app, I DON'T WANT IT, that should've been clear after the first 500 times I've stated that, maybe if I go down here and leave a 1 star negative review I'll stop getting these insufferable ads, if I hear one more ad about some horrendous acting skit about a forced marriage with abuse parents/in laws I'm going to lose it",1
6b5be094-a82f-4237-8dd1-115771ab501b,After posting a video I got reported for being underage (I'm 17 but I reported that and the app is supposed to be available for 13+). They suspended my account and are no longer allowing me to make a new one. I tried making an appeal and everytime I tried submitting a picture of my license it glitched out. Disappointing I can't use an app available for 13+ when I'm almost 18..,1
e7130859-59e8-45a5-8d9d-5af4f41afc31,Nispa,5
26a9f648-6601-4fbc-8d61-5ea1c2e168ae,Mahar Irfan,5
507a8249-d514-48c3-9834-cf10eecf58be,Nice App,5
fff87ac2-20d4-461c-8aba-8c001c897c67,Okay,3
722cd91c-833f-4bb4-8e01-7109d3dada78,If I follow people it's not on my profile,1
819c18ce-ddec-4c64-83a5-a513941da711,Nice app,1
ae572db2-ecfd-43fd-ac32-f861dc0f3175,My music stops everytime I go into the app.,1
7bfb155c-101a-4059-af92-8617a5b57f75,Good Nice,5
71a4834b-02bc-491b-9509-ffcb2de19206,Nice,5
7f46c43b-5810-4ded-a181-34a6415859ff,Tiktokk,3
dbb00ccc-a2d7-46fc-82c8-0ad4082d27b7,Tiktok 😕 😪,1
8507b981-a02a-45f6-8947-035aa0975d7f,Great app,5
df64e190-d3ae-46c1-af83-f42edaeb8431,অনেক সুন্দর আপ্যস।,5
60beb831-f05c-4211-83bb-3b11dc511836,Great app. To both meet and keep friends.,5
d8c0e22a-3faa-4a08-9e29-c29e53f4b30f,This app us relax me,5
9e77cae6-34bd-4f73-8c32-a5c946b942f4,Nic tiktok😘😘😘😘😘😘😘,5
41652fc6-c2a4-4710-9c0e-15568ae8961a,I love watching tiktok so much I need it please help mi get it,1
9d2fe7fd-b23a-43db-8c60-50fb77979182,Constant freezing,1
2b314b95-d269-4b3d-bcbd-980b40db6ddf,Nice App For TikTok,5
90bb2d25-66c2-4012-aec4-ae4099a76495,Shohagmonir26 tiktok,5
dec6a747-2bfd-48cd-94ff-0d0afb90dff4,Very bad,5
9c2a6035-874c-4e41-857b-6726e7949388,It's the best but my repost button is gone ...,5
72acab52-6330-4900-bb5d-2eb9c86dc38a,Good,5
89b94022-7560-423d-a7f9-ba9cd61557b6,Plzzz support my tik tok account,5
e487831f-fcbd-4223-9e6c-f4ea8813fc1c,Ok,5
25e4dcc1-014e-4b8d-8ece-fb7d6492c97b,Yeah,5
cfc8483b-68c8-4634-aff4-acf993850f24,"Tiktok is a good app, because it makes people happy 😍😍",5
f85b1d6a-bdcd-445e-870e-b3ca8216f1ed,es muy buena la verdd oko,3
cf40bba9-df1e-4c34-9313-ed07683ce48d,Hellp me my account is deleted,5
c84c07da-b9c4-40f2-a9a4-fac842ea670b,Good boy,3
cc367362-239d-42b1-bb01-1d29605445f7,TikTkk,1
681f7e07-91d3-4608-93ad-11d2dd655479,"This algorithm is dangerous. It can take you down rabbit holes. You can question reality & and lose sight of what is important. There is definitely valuable content here, but the way this is set up is completely wrong. You will easily lose your place with this app",1
ef60b61c-dc64-47d3-aa78-7ae95dcdec9c,learning more about tiktok,4
82b931ba-f747-4b28-b46e-6c8cdb20763e,Good app,5
5e86337e-2984-407e-b6b7-eb266ef923fd,This app is great,5
7e7efedf-9b3b-4419-825e-479f6e34d08c,I have used this app regularly for over a year. i really enjoyed until the most recent update. now betaween tabs. it does this awful ppf transition on the screen like it spins the entire screen a cupole times and then goes back to Where you wanted to go. it's not only deeply annoying because the transition is too long and too overt. is causes a headache. i like tiktok and the info i get From the creators i follow. but this update is the most bizarre and unnecessary app change iver ever seen,3
14e80890-a3f2-4263-8801-f12e93847809,Cuftei DC yh up all,2
f1a6d7f1-358f-418d-8df4-6e5ad8a9dc50,No show thought why,5
7340583b-4436-427a-acbc-dd247c0cfa44,very nice,5
e458b39d-0e4d-4e87-b047-a56bc5ee63d5,I dont like this app,2
5f44ec4d-6728-4db2-ab44-ce483d7b4717,"What the heck is up with this app recently?!? I have changed nothing and videos keep pausing/buffering, the app shuts down automatically while watching a video. I have cleared the cache, made sure that it is up to date, and it is still doing this! it's very frustrating and makes it almost impossible to watch videos.",3
dd3e2fe7-e7e9-4932-aa32-e8e79dffd5b0,nodir valo basa,1
f8881102-ee91-4201-a131-13d8650069e9,I want to follow people but they get unfollowed everytime I refresh the page 🤷🏽‍♂️🤷🏽‍♂️,3
329fa667-fd34-4000-a6ba-060424681323,"Everything is censored. You can literally say nothing without it being removed for whatever reason. Tictok, if you ever read this, fix your app, please, and thank you because it's getting ridiculous. People shouldn't have to be censored for freedom of speech unless your people, where you're from, don't have freedom of speech, but I know my rights as an American. Thank you very much. I feel your app has too much censorship, either that or you leave it to computers to do whatever they want.",1
0eb9b571-0640-4e2c-b11f-e53d469ba754,"Performance and bug squash updates need to be released more often, as tiktok keeps crashing and lagging when i use the app for some time.",1
a18fa2d8-1de4-4de2-8451-a3b3039e9d92,It's not responding,2
a963b289-77b9-4b04-bdbc-d6b3d95bd0c8,Best,5
179bfa32-ed98-4b3d-8ca7-c340b1081562,Discussed,1
25bb2b0f-76bc-4c18-99d5-543dd4324814,👆 😊😊😊,5
912c369f-3e5d-43f6-a648-968e96064aea,"Damn , tik tok is going woke hard now. Stop",1
38efa676-de9c-4a6b-a34f-fa0a9bbc6f45,বএওতর,5
7be32f02-a46f-4a1e-8a89-7cd6e3fca1cf,Zohabi,5
