reviewId,content,score
87994678-a782-4444-b102-1406fb87f3d8,"Aditya,singh",5
b221fd28-76f1-43f5-8be3-24912df850db,Please atleast bring back the old whatsapp also announce officialay please,1
8cc329e2-ac40-430b-98ff-8625fbbd777d,Excellent,5
ae85732c-6c10-4b42-a370-1ab666e89079,Wonderful experience,5
55942e68-e726-4e17-a483-cd6c5d6b6989,Wow,4
61ec96fc-cea0-41b3-ab30-b1ffa94932e9,Good,4
ea5c7eab-a4a1-4b83-b01b-36f9b4f86b3a,Why Popup notifications aren't available on Android versions 10 and above??,2
55e4a8b3-10b7-466d-bdba-bc8ff56f1425,Very sweet,5
96e9e20f-3a99-474f-8d26-484a33f5a35b,Need more settings options I feel....,3
be567d26-7861-400c-ad05-04240a9e08db,Super,2
127eb3ba-62d5-47ef-8f40-72451c704e18,New one,5
8b5a9219-f086-4b1f-bde4-7e79ffd6dd0b,Nice,3
658d8644-bf0a-4ff5-af74-13ecc9877b6f,Not bad,5
dc5c7bcf-5cd3-4cdf-889d-2af7e8bbb48b,Rumi dey,5
16f9cb58-e00f-4901-9975-073c3004a7ce,Bad,1
4b16a81d-fadb-4628-bb5d-4782ba1ae01f,Awesome app..😇,5
adfc0af6-8aad-4566-9de6-fc347d36d963,Notification issue,1
b31ed4ad-5cbc-4e06-bc21-cf9869474d14,Good sms,2
92788970-187c-4802-b3db-b831430021f9,Good,3
ffdb1c08-2440-408e-abba-b5c2643e838e,My fav app,5
8a8aed01-7af4-4ba9-b38b-2e5ef085fc90,Nice,3
f58485e3-d21e-41cf-b450-7b6a9f510c64,Please help me sir send me OPT sir support me sir login information app whapp,5
d9c22c87-09d4-492e-97bc-80e3d011e304,Very good,5
db86c710-18a0-4ff8-ac50-b5ad23d4727c,Anand prash,4
781937ec-2b66-4303-881e-9cbc32582b92,good,5
6a995108-c055-441d-8fce-cf36bdf2b3bc,After clicking to the download sign I can't stop to download,3
4a56a31d-06d2-4436-9cdb-550500795c11,good,5
33314fcf-7cd8-4ad3-bb37-d1b819387802,Good app but make Faster opening Speed,5
60ed79fc-44f5-4d47-a7b5-f0f5ea3f3c88,Good,1
493eb771-2030-4a16-bbd1-e75150263a74,Okay,5
4d678687-eaff-4838-9568-405d75da5769,It is very much useful to me,5
b8c6ac3b-1f0e-4cec-bbc9-df2113db627d,dear whatsapp team till not getting stable update regarding new interface.,1
87743219-5dc8-44ac-93d6-00058dc39179,I am writing,5
497f85a2-5f11-4a99-af07-c68c9dac8e18,Best,5
2b3403a4-b6dc-4b88-b096-25b7d62d4868,This was very useful,5
f34e002a-2bfa-4cba-bae4-363ab23feb2e,❌❌❌❌❌,3
797558f5-5637-4e5b-abd3-c9c356849c52,Nice,1
d708b589-13a8-4881-ab0b-754c7611ce30,Nice 👍 good app,4
934a1661-3e14-425d-940c-b23c062abc0b,Qr code scanning is broken. Both for chat transfer and for linking devices.,1
d4e47e12-bba3-47c6-ac2e-adfefee303bc,my whatsaap is not updating instead after updating new features doesn't come into it,1
be05f832-e1eb-4283-9015-9805df634801,Nice,5
c1386ad3-0415-4895-be0d-0d001cc9c0b1,"Bad for privacy, fake accounts, get fraud links and calls",1
00220db7-6b08-44fc-a627-1078e6b65984,Good,4
175e2d16-7a71-4bc5-81b9-977c9d960039,मराठी,5
6da0fd5c-1719-4738-ae86-81c4283970a6,"this app is wonderful for chat,photo, video sharing",5
bd6c5c9a-e20f-4325-9857-128d18ae5d9f,Very useful and excellent,5
e4fc6e10-89ab-4c62-92fa-69111ca7529a,Ok hAa,5
1f3e22db-7f8a-4709-bf64-5839b0e81c50,Good for using.,3
688fae6f-a180-4570-8e51-9c5fd7727719,Overy nice,5
8412727e-b406-4cf9-ba23-edab2f0b8199,Can't send long mb videos hanging,2
b608a408-e1bb-4cce-8dc6-377c04333412,Supeerbbb,5
7830d42f-60fd-430b-8866-743accb20dd1,Farooq malang,1
5b94ac9f-d455-432f-891a-8ead5f3aa83b,It's osm 😁,5
7690a6c2-360c-499f-bfc5-63236ce443d4,Sends good video,4
0748685c-cecb-49b5-a239-8f6dc2180f3b,Rating two just for meta ai doesn't know bengali,2
d5419869-bf06-4579-890b-1c6c375fb186,Rani chauhan Indore se Madhya Pradesh १४२७ crani chauhan,1
c19820bd-d8c5-44b2-a443-68e79f6e453f,Sidak😇😇😇,3
caeb4706-8e1b-441f-8a0d-6d976f6dff57,Its very useful application,5
ec782e6b-1808-4e02-ba39-c5444b9247d7,What's app ai is not showing in my app. Please help to resolve the issue.,3
56d8f1e7-abda-4c7b-8116-8effaf0fa558,Great job,5
400be8f7-b702-469a-a11d-8d190af30274,User friendly aaps 💖💖💖,5
b8c5dc99-2aea-472a-8c52-f7b11bb5cb55,zJrCxxxxzx一，的： 一一一。人，。。？c,2
fedcdfc0-6f12-42bd-80fb-8e4023196196,What up is most easy way to connect to people,5
85b2da2b-2ecb-451b-91f3-1821c6ff9a1f,Screen lock option should be given during whtsapp video call because children touch the screen while the call is going on and cut the call or open other functions. So for safe purpose screen lock option should be given while video call is going on.,5
648c3146-ed30-41aa-9283-5b748be201b8,Nice,4
8a664eca-7ba1-48e6-9ee5-bfceafd9ecd5,"Hi, my button view once disappear.how to get in my whatsapp",5
be247282-9a74-4190-8e01-46e8cf039e16,nice,5
b2d1ed50-3e8b-4a84-9c04-32a0c7a64d29,Dear WhatsApp My account was not showing Meta Ai please fix its as soon as possible Thankyou,5
c5edb67b-b8ef-4be1-847e-032602b2c43d,King 👑,5
a05f080c-7ebe-4d19-9c6d-c0c2420b2a4b,Amazing 😍,5
2fbf91c3-c7d7-4c97-b341-c239814dacb5,Mera koi problem ho gaya hai whatsapp chal nhi raha hai,5
1c4ab097-ff3c-4043-bd8a-479031d3b782,Good,4
d76a3ac5-81a6-4650-b9db-b3457ddfd40e,❤️❤️❤️,3
34b43c00-11ac-4758-b3e0-2d4e89a8f00b,Hangjang volgs,2
33f52298-a95a-4ef7-8f32-f6927eb990ca,Wlcm new arrival changes,5
58f9e20f-f0e8-422d-88c9-96b23912ba64,It's amazing 🤩,5
c60a37cf-cb9f-46c4-9966-24ca54b033a6,WhatsApp,5
d34ae8fb-31cf-4cc2-90ef-7d6c62cdbeb0,No rhc djx mm n.ueu. Mu l,2
9d964127-57bd-477b-a519-16f4303afcde,Good,5
