Artist,Track Name,Popularity,Duration (ms),Track ID
The Beatles,Here Comes The Sun - Remastered 2009,87,185733,6dGnYIeXmHdcikdzNNDMm2
The Beatles,Yesterday - Remastered 2009,80,125666,3BQHpFgAp4l80e1XslIjNI
The Beatles,Come Together - Remastered 2009,80,259946,2EqlS6tkEnglzr7tkKAAYD
The Beatles,Twist And Shout - Remastered 2009,80,155226,5ZBeML7Lf3FMEVviTyvi8l
The Beatles,Let It Be - Remastered 2009,80,243026,7iN1s7xHE4ifF5povM6A48
The Beatles,In My Life - Remastered 2009,79,146333,3KfbEIOC7YIv90FIfNSZpo
The Beatles,Blackbird - Remastered 2009,79,138386,5jgFfDIR6FR0gvlA56Nakr
The Beatles,Something - Remastered 2009,76,182293,0pNeVovbiZHkulpGeOx1Gj
The Beatles,Hey Jude - 2015 Mix,67,431453,1RP85mAmvJ8baqjP53kFJu
The Beatles,Now And Then,64,248640,7eT64Q8X2RsgMm4lqtWK4n
James Brown,I Got You - 1964 Smash Version,49,167346,711ba03szQaASPznwdZkuw
James Brown,"It's A Man's, Man's, Man's World",53,175853,3BcH252CGECgOWfKBjAaBC
James Brown,Papa's Got A Brand New Bag,58,128173,00pGV4EInVd77cnOIwPTCv
James Brown,Get Up Offa That Thing,64,239733,5XeSAezNDk9tuw3viiCbZ3
James Brown,The Boss,64,194866,6LzjgzpVl0hB3YrBU1b8Z1
James Brown,Try Me,49,151626,44AgaeLQCnvk3PPHIaDeDk
James Brown,People Get Up And Drive Your Funky Soul - Remix,61,544640,5U3i59kbTLrxo46TU1FRnF
James Brown,Get Up (I Feel Like Being A) Sex Machine,51,316333,2ivdsb1RcEJjIs5tuHkUC9
James Brown,"Living in America - From ""Rocky IV"" Soundtrack",45,284186,2Gm8VFVQrRd0AUP1wZuCQR
James Brown,Unchained (The Payback / Untouchable),58,171573,47Zqlw3jmibtVPy8usPjBj
The Beach Boys,Wouldn't It Be Nice,75,153240,4IHc6SzGPnzSPuHVEPzpJc
The Beach Boys,Kokomo,73,217692,5qHYXcVvc9xsFB2uH7GpMN
The Beach Boys,Surfin' U.S.A. - Remastered 2001,73,149373,0wz1LjDb9ZNEYwOmDJ3Q4b
The Beach Boys,Good Vibrations - Remastered 2001,72,219026,5t9KYe0Fhd5cW6UYT4qP8f
The Beach Boys,God Only Knows - Remastered 1996,66,174906,17QTsL4K9B9v4rI8CAIdfC
The Beach Boys,I Get Around (Mono),68,134386,3v9xlH6BpmRbqL7hgNJhfT
The Beach Boys,Don't Worry Baby - Remastered 2001,66,169933,1GLmaPfulP0BrfijohQpN5
The Beach Boys,Little Saint Nick - 1991 Remix,64,118840,5xlS0QkVrSH7ssEbBgBzbM
